InvoiceDate,InvoiceSaleID,Department,CustomerID,Remarks,InvoiceAmount,FullyPaid,PartlyPaid,Transactions,AmountPaid,AmountDue,PaidPercent,LastPayment,DaysToPay
2021-09-08 13:07:27.656791,000f331f-e441-460d-854c-a9f66b4a4fc1,0,13889bf9-5059-443f-acd8-07c80b69a039,,1050000.0,True,False,"[(Timestamp('2021-10-22 00:00:00'), 1050000.0)]",1050000.0,0.0,100.0,2021-10-22 00:00:00.000000,43
2021-09-06 13:17:51.064773,0024a35d-7e9b-4f05-b0d3-bd4649e8f3e5,0,6942d576-01a6-42b6-34d1-08d82f1de391,,86000.0,False,True,"[(Timestamp('2021-09-10 00:00:00'), 65250.0)]",65250.0,20750.0,75.87209302325581,2021-09-10 00:00:00.000000,
2021-07-12 00:00:00.000000,00256c73-6b84-4912-b2e0-f2f5ced9ffbd,0,8afcf63e-c129-41da-928d-08d8ddbead40,Needed urgently,103500.0,True,False,"[(Timestamp('2021-07-12 00:00:00'), 103500.0)]",103500.0,0.0,100.0,2021-07-12 00:00:00.000000,0
2021-07-27 12:06:56.679454,00400ac0-be06-4f22-a908-13dd94b995bf,0,031abb23-b75a-47c0-7f8f-08d94c7663a3,,500000.0,True,False,"[(Timestamp('2021-07-28 00:00:00'), 500000.0)]",500000.0,0.0,100.0,2021-07-28 00:00:00.000000,0
2021-08-06 00:00:00.000000,004f4d5c-ce4e-43eb-9e75-a97c9d3b331f,0,8b589bb4-449f-430a-8122-08d92b346622,Payment on delivery,271500.0,True,False,"[(Timestamp('2021-06-16 00:00:00'), 150000.0), (Timestamp('2021-08-06 00:00:00'), 121500.0)]",271500.0,0.0,100.0,2021-08-06 00:00:00.000000,0
2021-08-04 08:19:01.900757,0058672b-8236-42ac-869f-dfe24694f382,0,253d0465-c95e-42dc-0d42-08d9534f7874,Kindly approve Sir,71500.0,True,False,"[(Timestamp('2021-08-06 00:00:00'), 71500.0)]",71500.0,0.0,100.0,2021-08-06 00:00:00.000000,1
2021-11-15 12:07:27.057030,006770c7-8103-4a6c-948a-097cab4efaa8,0,833d9587-34e2-4d01-bd79-a4d5620d963d,,140000.0,True,False,"[(Timestamp('2021-11-16 00:00:00'), 140000.0)]",140000.0,0.0,100.0,2021-11-16 00:00:00.000000,0
2021-08-26 00:00:00.000000,00701d7b-25b7-4c92-af65-55578834c79b,0,9c102995-ef0b-4d61-906f-08d90a27be48,Please send it's urgent thanks,3750000.0,True,False,"[(Timestamp('2021-08-26 00:00:00'), 3500000.0), (Timestamp('2021-09-13 00:00:00'), 250000.0)]",3750000.0,0.0,100.0,2021-09-13 00:00:00.000000,18
2021-01-12 00:00:00.000000,0072491d-8cfc-45fc-b4e6-71557650fd57,0,ad73ebfe-b618-438e-5b5e-08d8b45f5192,,282000.0,True,False,"[(Timestamp('2021-01-19 00:00:00'), 175000.0), (Timestamp('2021-03-04 00:00:00'), 107000.0)]",282000.0,0.0,100.0,2021-03-04 00:00:00.000000,51
2021-07-05 09:35:24.746492,007456f3-710d-4178-96b4-de1f476eb0db,2,5567eaec-0a47-4978-b6b9-d084d6088ae4,,80000.0,True,False,"[(Timestamp('2021-09-13 00:00:00'), 80000.0)]",80000.0,0.0,100.0,2021-09-13 00:00:00.000000,69
2021-12-22 00:00:00.000000,00790e93-5fc3-43a4-b994-a32104184e89,2,9e1f3838-c9cf-48d0-09ff-08d828cd2443,,183060.0,False,True,"[(Timestamp('2021-12-22 00:00:00'), 0.0), (Timestamp('2022-01-17 00:00:00'), 162540.0)]",162540.0,20520.0,88.79056047197639,2022-01-17 00:00:00.000000,
